
Rafael Nadal,1,QUL_1
Rod Laver,0,QUL_3
Jimmy Connors,0,QUL_4
John McEnroe,0,QUL_5
Withdrew,0,QUL_6
Andy Murray,2,QUL_7
Withdrew,0,QUL_8
Novak Djokovic,1,QUL_2
Roger Federer,0,ROU11
Stan Wawrinka,1,ROU12
Boris Becker,0,ROU13
Andre Agassi,1,ROU14
Stan Wawrinka,0,ROU21
Goran Ivanisevic,2,ROU22
Pete Sampras,0,ROU23
Andre Agassi,0,ROU24
Boris Becker,0,ROU31
Stan Wawrinka,1,ROU32
Goran Ivanisevic,1,ROU33
Bjorn Borg,1,ROU34
Roger Federer,1,ROU41
Boris Becker,0,ROU42
Bjorn Borg,0,ROU43
Goran Ivanisevic,1,ROU44
Roger Federer,0,ROU51
Bjorn Borg,0,ROU52
Boris Becker,1,ROU53
Stan Wawrinka,0,ROU54
Bjorn Borg,0,ROU61
Andre Agassi,2,ROU62
Goran Ivanisevic,0,ROU63
Boris Becker,1,ROU64
Pete Sampras,0,ROU71
Goran Ivanisevic,2,ROU72
Andre Agassi,1,ROU73
Boris Becker,1,ROU74
Andre Agassi,1,Semi_1
Ivan Lendl,1,Semi_2
Stan Wawrinka,1,FINAL
